"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,0,1,1,1,1,1,1
"2",1,0,0,1,1,1,0,0
"3",1,1,1,1,1,0,1,1
"4",0,1,1,1,1,1,0,1
"5",1,1,0,1,1,1,1,1
"6",1,1,0,1,0,0,1,1
"7",1,0,1,1,0,0,1,1
"8",1,1,0,1,0,1,1,0
"9",1,1,1,0,1,1,0,0
"10",0,1,1,1,1,1,1,0
"11",0,0,1,1,0,0,0,0
"12",1,1,1,1,1,1,1,1
"13",0,1,1,1,0,1,1,1
"14",1,1,0,1,0,0,1,1
"15",1,1,1,1,1,0,0,1
"16",0,0,1,1,1,1,0,1
"17",0,1,1,1,1,0,1,0
"18",0,0,1,1,0,0,0,1
"19",1,0,0,0,0,2,1,1
"20",2,0,2,2,0,1,2,1
"21",2,2,2,1,2,2,0,2
"22",2,2,2,2,2,2,2,2
"23",2,2,2,2,2,2,2,2
"24",0,0,2,2,2,2,2,2
"25",2,2,2,2,2,2,2,0
"26",2,2,2,2,2,2,2,2
"27",2,0,2,2,2,2,2,2
"28",2,2,2,2,2,2,2,0
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
